epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,348.895,0.89682,0.81835,1.18046,0.51259,0.57991,0.53439,0.30631,1.37464,1.45896,1.61767,0.0005941,0.0005941,0.0005941
43,357.535,0.88507,0.81962,1.18029,0.78246,0.51631,0.60667,0.35086,1.30606,1.2631,1.53233,0.0005842,0.0005842,0.0005842
44,366.247,0.88719,0.81105,1.17554,0.76785,0.51523,0.62385,0.35646,1.32107,1.30932,1.56051,0.0005743,0.0005743,0.0005743
45,374.95,0.89559,0.82242,1.17344,0.63059,0.59863,0.60831,0.34986,1.35067,1.31001,1.5812,0.0005644,0.0005644,0.0005644
46,383.603,0.87626,0.78545,1.16415,0.77169,0.53547,0.58628,0.31758,1.3459,1.37927,1.57755,0.0005545,0.0005545,0.0005545
47,392.258,0.85346,0.76562,1.15003,0.62868,0.59737,0.57258,0.33222,1.28847,1.37392,1.52158,0.0005446,0.0005446,0.0005446
48,400.925,0.87319,0.76439,1.16497,0.62488,0.58092,0.57816,0.33677,1.33435,1.46897,1.57571,0.0005347,0.0005347,0.0005347
49,409.609,0.85619,0.75887,1.1596,0.68306,0.55405,0.58871,0.33025,1.36924,1.3507,1.59897,0.0005248,0.0005248,0.0005248
50,418.257,0.82255,0.73462,1.13847,0.72252,0.55278,0.62031,0.36254,1.33482,1.32672,1.55875,0.0005149,0.0005149,0.0005149
51,426.931,0.84726,0.74715,1.15449,0.68858,0.58056,0.60954,0.36694,1.30467,1.33889,1.55819,0.000505,0.000505,0.000505
52,435.609,0.8427,0.7505,1.14212,0.45986,0.65715,0.55398,0.32521,1.35072,1.37788,1.57189,0.0004951,0.0004951,0.0004951
53,444.234,0.84219,0.73803,1.15125,0.6376,0.50616,0.57073,0.34698,1.31903,1.36619,1.55215,0.0004852,0.0004852,0.0004852
54,452.864,0.83317,0.72067,1.14246,0.74327,0.58945,0.62944,0.37473,1.28403,1.32033,1.53222,0.0004753,0.0004753,0.0004753
55,461.596,0.8222,0.70917,1.13435,0.64589,0.53963,0.56749,0.3478,1.29159,1.42124,1.54474,0.0004654,0.0004654,0.0004654
56,470.137,0.82143,0.70512,1.13907,0.63263,0.60312,0.59325,0.363,1.31418,1.3124,1.55009,0.0004555,0.0004555,0.0004555
57,478.721,0.8139,0.69937,1.12927,0.65132,0.5492,0.56236,0.32305,1.28453,1.39763,1.51143,0.0004456,0.0004456,0.0004456
58,487.442,0.78871,0.66728,1.11077,0.63733,0.54099,0.57067,0.35264,1.28283,1.31616,1.52128,0.0004357,0.0004357,0.0004357
59,496.046,0.80217,0.67848,1.11578,0.61617,0.58862,0.57061,0.34932,1.31285,1.36044,1.54663,0.0004258,0.0004258,0.0004258
60,504.68,0.78357,0.67474,1.10608,0.55348,0.64874,0.60119,0.34805,1.34055,1.38231,1.56492,0.0004159,0.0004159,0.0004159
61,513.332,0.77055,0.66383,1.10237,0.70272,0.54141,0.59293,0.36322,1.26466,1.32831,1.51649,0.000406,0.000406,0.000406
62,521.962,0.77757,0.66516,1.108,0.75667,0.55804,0.63033,0.385,1.27476,1.27879,1.49437,0.0003961,0.0003961,0.0003961
63,530.671,0.76359,0.63782,1.10284,0.71951,0.53937,0.59746,0.3589,1.30538,1.31826,1.5467,0.0003862,0.0003862,0.0003862
64,539.216,0.7564,0.62584,1.10268,0.75086,0.55033,0.62753,0.37081,1.28477,1.34077,1.52202,0.0003763,0.0003763,0.0003763
65,547.831,0.76348,0.63819,1.10367,0.67525,0.65689,0.64432,0.39376,1.26483,1.31592,1.49892,0.0003664,0.0003664,0.0003664
66,556.58,0.75718,0.64812,1.10142,0.74726,0.57672,0.65178,0.37789,1.30523,1.35084,1.54896,0.0003565,0.0003565,0.0003565
67,565.195,0.7292,0.60669,1.08729,0.69103,0.52819,0.57553,0.33886,1.29675,1.36708,1.55223,0.0003466,0.0003466,0.0003466
68,573.797,0.73469,0.61174,1.07653,0.70149,0.56388,0.61541,0.3813,1.25931,1.32021,1.52229,0.0003367,0.0003367,0.0003367
69,582.463,0.72039,0.60823,1.07835,0.61449,0.59892,0.58593,0.36095,1.2637,1.42024,1.54042,0.0003268,0.0003268,0.0003268
70,591.14,0.73474,0.59862,1.08507,0.7489,0.55526,0.62318,0.38043,1.28185,1.35576,1.52177,0.0003169,0.0003169,0.0003169
71,599.727,0.71695,0.58669,1.07269,0.72166,0.56935,0.61054,0.36862,1.28443,1.40104,1.52821,0.000307,0.000307,0.000307
72,608.322,0.71655,0.58278,1.07354,0.63491,0.64191,0.62704,0.37397,1.31472,1.42711,1.57926,0.0002971,0.0002971,0.0002971
73,616.949,0.70212,0.57165,1.06007,0.59467,0.67492,0.62409,0.38259,1.27792,1.40867,1.53307,0.0002872,0.0002872,0.0002872
74,625.549,0.70976,0.57251,1.06304,0.71145,0.57505,0.5994,0.38343,1.26706,1.40104,1.5251,0.0002773,0.0002773,0.0002773
75,634.205,0.70487,0.56904,1.07717,0.67564,0.58102,0.59976,0.36845,1.28401,1.4248,1.53748,0.0002674,0.0002674,0.0002674
76,642.824,0.69969,0.572,1.05148,0.79046,0.54545,0.62681,0.37957,1.26403,1.3551,1.52773,0.0002575,0.0002575,0.0002575
77,651.497,0.69333,0.56613,1.06089,0.72831,0.58982,0.60866,0.37657,1.26962,1.40773,1.52145,0.0002476,0.0002476,0.0002476
78,660.088,0.6931,0.54256,1.05423,0.7963,0.55751,0.63073,0.39511,1.26488,1.40451,1.51463,0.0002377,0.0002377,0.0002377
79,668.681,0.67527,0.55104,1.05463,0.79148,0.57319,0.61929,0.38565,1.27801,1.39502,1.55061,0.0002278,0.0002278,0.0002278
80,677.211,0.68861,0.55591,1.05857,0.65303,0.61268,0.61012,0.36345,1.28752,1.41028,1.54921,0.0002179,0.0002179,0.0002179
81,685.786,0.66464,0.53754,1.04498,0.63623,0.62557,0.61362,0.36234,1.27764,1.33891,1.52173,0.000208,0.000208,0.000208
82,694.305,0.66972,0.53593,1.05158,0.65368,0.65562,0.63942,0.3827,1.27541,1.35172,1.51034,0.0001981,0.0001981,0.0001981
83,702.895,0.65367,0.52657,1.04461,0.75594,0.53202,0.60929,0.38507,1.27846,1.35497,1.52133,0.0001882,0.0001882,0.0001882
84,711.505,0.65746,0.53524,1.03717,0.72837,0.51847,0.57856,0.35012,1.25852,1.37839,1.50043,0.0001783,0.0001783,0.0001783
85,720.043,0.66506,0.52921,1.04031,0.75521,0.53182,0.57889,0.35716,1.24934,1.35353,1.49396,0.0001684,0.0001684,0.0001684
86,728.526,0.65605,0.51895,1.03653,0.71128,0.55385,0.59853,0.37347,1.24179,1.3172,1.50129,0.0001585,0.0001585,0.0001585
87,737.079,0.6464,0.51403,1.03851,0.7262,0.55774,0.62421,0.39693,1.23957,1.38927,1.49641,0.0001486,0.0001486,0.0001486
88,745.644,0.63887,0.51469,1.03602,0.67736,0.58231,0.59206,0.38883,1.26321,1.42412,1.50911,0.0001387,0.0001387,0.0001387
89,754.207,0.652,0.52229,1.04165,0.66888,0.57739,0.5814,0.37336,1.25522,1.39764,1.50785,0.0001288,0.0001288,0.0001288
90,762.764,0.63424,0.50102,1.02476,0.70544,0.55468,0.59352,0.37414,1.23256,1.39868,1.48766,0.0001189,0.0001189,0.0001189
91,787.691,0.59912,0.44478,1.01851,0.67373,0.50747,0.578,0.34944,1.29126,1.40516,1.55605,0.000109,0.000109,0.000109
92,796.371,0.57516,0.40889,0.99575,0.69349,0.55087,0.61441,0.38253,1.27472,1.35332,1.53474,9.91e-05,9.91e-05,9.91e-05
93,804.838,0.56262,0.39353,0.9946,0.76639,0.55466,0.6276,0.37872,1.29215,1.35788,1.54878,8.92e-05,8.92e-05,8.92e-05
94,813.35,0.56046,0.38199,0.98592,0.6556,0.61352,0.61006,0.36427,1.26775,1.33569,1.52705,7.93e-05,7.93e-05,7.93e-05
95,821.887,0.54365,0.37492,0.97571,0.617,0.65316,0.6171,0.36626,1.28062,1.35135,1.54781,6.94e-05,6.94e-05,6.94e-05
96,830.367,0.5399,0.37592,0.97128,0.63976,0.65898,0.61293,0.37114,1.27105,1.34464,1.53341,5.95e-05,5.95e-05,5.95e-05
97,838.847,0.53977,0.37248,0.97653,0.637,0.62206,0.61618,0.37673,1.27065,1.3554,1.53663,4.96e-05,4.96e-05,4.96e-05
98,847.433,0.51961,0.36163,0.95853,0.65088,0.62399,0.61813,0.37851,1.27088,1.36454,1.53335,3.97e-05,3.97e-05,3.97e-05
99,856.024,0.51872,0.36398,0.97274,0.65899,0.63315,0.6139,0.37604,1.25731,1.37553,1.51826,2.98e-05,2.98e-05,2.98e-05
100,864.514,0.51062,0.34794,0.95348,0.69519,0.60127,0.61409,0.37692,1.25358,1.35293,1.52042,1.99e-05,1.99e-05,1.99e-05
