epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,565.072,0.78044,0.89992,1.15791,0.4337,0.4377,0.39549,0.26218,1.39383,2.32119,1.64135,0.0005941,0.0005941,0.0005941
43,577.024,0.75876,0.91871,1.14363,0.5181,0.44003,0.42563,0.2839,1.35138,2.23865,1.60484,0.0005842,0.0005842,0.0005842
44,588.952,0.7419,0.86705,1.13784,0.51691,0.43421,0.39931,0.28372,1.36922,2.22166,1.63274,0.0005743,0.0005743,0.0005743
45,600.906,0.72325,0.8559,1.1153,0.43984,0.40063,0.35462,0.24394,1.35934,2.31634,1.63528,0.0005644,0.0005644,0.0005644
46,612.877,0.76546,0.8695,1.15322,0.55792,0.38018,0.40488,0.27199,1.33877,2.30505,1.61904,0.0005545,0.0005545,0.0005545
47,624.849,0.74241,0.85969,1.1319,0.54176,0.38197,0.37811,0.26871,1.32375,2.24426,1.58164,0.0005446,0.0005446,0.0005446
48,636.85,0.71526,0.79503,1.10906,0.56368,0.45724,0.46209,0.31553,1.31396,2.29449,1.5584,0.0005347,0.0005347,0.0005347
49,648.755,0.70196,0.79567,1.10381,0.49812,0.41458,0.39318,0.27928,1.38851,2.33966,1.63767,0.0005248,0.0005248,0.0005248
50,660.687,0.71304,0.78329,1.1181,0.42861,0.46246,0.40779,0.2779,1.37099,2.28823,1.61778,0.0005149,0.0005149,0.0005149
51,672.534,0.71312,0.79789,1.11683,0.45523,0.39322,0.3956,0.27495,1.38897,2.37522,1.62725,0.000505,0.000505,0.000505
52,685.007,0.70195,0.79031,1.10652,0.57284,0.37765,0.38522,0.26245,1.34828,2.3086,1.62566,0.0004951,0.0004951,0.0004951
53,697.387,0.70132,0.7589,1.10169,0.51417,0.43977,0.40475,0.27794,1.32307,2.28353,1.5906,0.0004852,0.0004852,0.0004852
54,709.223,0.68747,0.74988,1.09819,0.4097,0.33329,0.36084,0.2657,1.37366,2.27434,1.61428,0.0004753,0.0004753,0.0004753
55,721.131,0.68865,0.74631,1.09099,0.4955,0.4114,0.41662,0.28931,1.40883,2.17194,1.64739,0.0004654,0.0004654,0.0004654
56,732.968,0.66977,0.72211,1.08315,0.53604,0.42548,0.42742,0.29116,1.35857,2.24806,1.5822,0.0004555,0.0004555,0.0004555
57,744.934,0.65861,0.73118,1.07755,0.55144,0.35701,0.40793,0.27831,1.39848,2.20606,1.66593,0.0004456,0.0004456,0.0004456
58,756.846,0.66936,0.70937,1.07981,0.53916,0.37264,0.36907,0.26799,1.39849,2.30432,1.64249,0.0004357,0.0004357,0.0004357
59,768.664,0.66287,0.70165,1.0748,0.57973,0.39471,0.38418,0.27182,1.34854,2.34829,1.60285,0.0004258,0.0004258,0.0004258
60,780.594,0.63929,0.66637,1.05796,0.4702,0.40944,0.38613,0.27775,1.3407,2.31149,1.59214,0.0004159,0.0004159,0.0004159
61,793.594,0.64086,0.68267,1.06732,0.48974,0.44261,0.41034,0.29728,1.28108,2.25458,1.53413,0.000406,0.000406,0.000406
62,806.767,0.62839,0.66953,1.05525,0.48812,0.44311,0.41412,0.28674,1.33724,2.20127,1.58324,0.0003961,0.0003961,0.0003961
63,819.97,0.62744,0.66795,1.04642,0.60459,0.41744,0.41245,0.29186,1.34036,2.22629,1.58186,0.0003862,0.0003862,0.0003862
64,833.115,0.6242,0.6537,1.05357,0.687,0.38029,0.41969,0.30498,1.31018,2.23014,1.57439,0.0003763,0.0003763,0.0003763
65,846.965,0.62788,0.6658,1.05334,0.62517,0.36644,0.41094,0.29655,1.30261,2.27467,1.55441,0.0003664,0.0003664,0.0003664
66,861.652,0.62053,0.64159,1.04285,0.46938,0.42652,0.41092,0.291,1.33576,2.31719,1.57421,0.0003565,0.0003565,0.0003565
67,874.859,0.59985,0.62626,1.04381,0.46484,0.44799,0.42431,0.29861,1.34633,2.18584,1.60163,0.0003466,0.0003466,0.0003466
68,888.285,0.60503,0.61826,1.0363,0.62216,0.38638,0.42498,0.28027,1.33401,2.31993,1.61683,0.0003367,0.0003367,0.0003367
69,901.508,0.6093,0.61264,1.03776,0.48297,0.4106,0.41568,0.29091,1.37171,2.47336,1.62763,0.0003268,0.0003268,0.0003268
70,914.723,0.59735,0.60837,1.04652,0.539,0.39083,0.4213,0.29805,1.39334,2.44056,1.65768,0.0003169,0.0003169,0.0003169
71,927.808,0.57575,0.57589,1.02841,0.48923,0.44005,0.42213,0.28564,1.34428,2.39984,1.61775,0.000307,0.000307,0.000307
72,940.93,0.58417,0.59077,1.03601,0.42013,0.46889,0.41793,0.29071,1.36283,2.43331,1.60388,0.0002971,0.0002971,0.0002971
73,953.978,0.57027,0.58734,1.02394,0.45718,0.45566,0.39722,0.27624,1.38484,2.4684,1.62842,0.0002872,0.0002872,0.0002872
74,967.176,0.57689,0.57977,1.02392,0.4892,0.43656,0.42127,0.29912,1.30551,2.36297,1.55316,0.0002773,0.0002773,0.0002773
75,980.517,0.59496,0.59198,1.03556,0.67883,0.36339,0.41714,0.30056,1.36693,2.31088,1.63177,0.0002674,0.0002674,0.0002674
76,993.719,0.5574,0.5624,1.0211,0.6557,0.38465,0.41587,0.29232,1.37207,2.42776,1.63579,0.0002575,0.0002575,0.0002575
77,1006.88,0.54806,0.5517,1.01711,0.53541,0.4146,0.41487,0.29887,1.35855,2.35123,1.62724,0.0002476,0.0002476,0.0002476
78,1019.98,0.5524,0.55356,1.01604,0.50656,0.4463,0.42621,0.3147,1.3458,2.34189,1.59475,0.0002377,0.0002377,0.0002377
79,1033.17,0.54376,0.53396,1.00848,0.50903,0.45685,0.4272,0.30597,1.33486,2.39841,1.5915,0.0002278,0.0002278,0.0002278
80,1046.25,0.55385,0.54788,1.02189,0.62394,0.43221,0.45159,0.32603,1.34585,2.34461,1.60683,0.0002179,0.0002179,0.0002179
81,1059.39,0.53804,0.53015,0.99913,0.49008,0.43305,0.42377,0.30179,1.33072,2.25396,1.61664,0.000208,0.000208,0.000208
82,1072.69,0.53406,0.52856,1.00295,0.48077,0.43267,0.41187,0.30828,1.31033,2.24245,1.5925,0.0001981,0.0001981,0.0001981
83,1085.84,0.51995,0.51796,0.99799,0.6999,0.40338,0.44185,0.32341,1.31353,2.23803,1.59024,0.0001882,0.0001882,0.0001882
84,1098.97,0.52511,0.50432,0.99247,0.61915,0.42105,0.42762,0.31405,1.32854,2.29888,1.61034,0.0001783,0.0001783,0.0001783
85,1112.1,0.51496,0.52281,0.99552,0.59656,0.38927,0.42091,0.30578,1.31577,2.34758,1.59774,0.0001684,0.0001684,0.0001684
86,1125.19,0.51773,0.50578,0.99491,0.67394,0.36942,0.40349,0.29857,1.34654,2.3719,1.65536,0.0001585,0.0001585,0.0001585
87,1138.31,0.51409,0.49815,0.9905,0.56699,0.40637,0.41198,0.30245,1.34389,2.30824,1.63745,0.0001486,0.0001486,0.0001486
88,1151.41,0.49399,0.49723,0.98612,0.61315,0.37312,0.40343,0.29504,1.3203,2.33521,1.61053,0.0001387,0.0001387,0.0001387
89,1164.69,0.49971,0.49213,0.99327,0.61073,0.39986,0.41166,0.30238,1.38593,2.32402,1.68037,0.0001288,0.0001288,0.0001288
90,1177.88,0.50105,0.47949,0.98011,0.53532,0.4227,0.3981,0.28886,1.3732,2.34406,1.66627,0.0001189,0.0001189,0.0001189
91,1208.85,0.48924,0.42241,0.97228,0.58923,0.37044,0.39161,0.28034,1.44394,2.33385,1.75801,0.000109,0.000109,0.000109
92,1222.05,0.47394,0.40593,0.96655,0.51673,0.43063,0.42539,0.31188,1.36992,2.3515,1.66861,9.91e-05,9.91e-05,9.91e-05
93,1235.16,0.4668,0.38811,0.9493,0.4954,0.46076,0.44171,0.31744,1.35395,2.30413,1.64078,8.92e-05,8.92e-05,8.92e-05
94,1248.24,0.45233,0.38693,0.9474,0.57233,0.4452,0.44403,0.32215,1.36329,2.35402,1.6492,7.93e-05,7.93e-05,7.93e-05
95,1261.27,0.43697,0.35945,0.94108,0.56341,0.45101,0.43327,0.31778,1.31856,2.38019,1.59876,6.94e-05,6.94e-05,6.94e-05
96,1274.45,0.43028,0.35504,0.92819,0.54309,0.44177,0.43187,0.31439,1.33405,2.39028,1.60976,5.95e-05,5.95e-05,5.95e-05
97,1287.43,0.43361,0.35727,0.93324,0.6645,0.41366,0.43255,0.31334,1.34344,2.40375,1.63178,4.96e-05,4.96e-05,4.96e-05
98,1300.43,0.42371,0.36637,0.93865,0.62242,0.44381,0.44442,0.32161,1.31004,2.40991,1.58416,3.97e-05,3.97e-05,3.97e-05
99,1313.47,0.42674,0.35516,0.9342,0.55573,0.45588,0.44529,0.32515,1.2921,2.32876,1.5775,2.98e-05,2.98e-05,2.98e-05
100,1326.49,0.42722,0.35054,0.94146,0.5523,0.46038,0.44479,0.31644,1.30152,2.35192,1.59367,1.99e-05,1.99e-05,1.99e-05
